name,address,cuisines,id,image,numberOfReviews,phone,photoCount,rankingPosition,rating,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,rawRanking,webUrl,website
Kkotdam,"85, Cheomdangangbyeon-ro, Gwangsan-gu",,9706599,https://media-cdn.tripadvisor.com/media/photo-o/14/0c/33/d7/c360-2018-08-08-12-47.jpg,5,+82 62-974-0001,1,49,4.5,0,0,0,2,3,3.06801414489746,https://www.tripadvisor.com/Restaurant_Review-g304129-d9706599-Reviews-Kkotdam-Gwangju.html,
Geogung,"1362, Gyeongchung-Daero",,9057649,https://media-cdn.tripadvisor.com/media/photo-o/20/93/a9/d9/caption.jpg,2,+82 31-768-4007,4,49,4,0,0,0,2,0,3.02692937850952,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9057649-Reviews-Geogung-Gwangju_Gyeonggi_do.html,
Chaeseondang,"937, Mujin-Daero",,8896671,,6,+82 62-368-0006,0,50,4,0,0,0,5,1,3.06678771972656,https://www.tripadvisor.com/Restaurant_Review-g304129-d8896671-Reviews-Chaeseondang-Gwangju.html,
Gold Star Buckwheat Cold Noodles,"67, Bongseonjungang-Ro",,9016025,,7,,0,51,4,0,0,1,4,2,3.06627321243286,https://www.tripadvisor.com/Restaurant_Review-g304129-d9016025-Reviews-Gold_Star_Buckwheat_Cold_Noodles-Gwangju.html,
Dubi,"952-1, Maewol-dong, Seo-gu",Seafood,4120783,,4,+82 62-681-0188,0,51,3.5,1,0,1,0,2,3.02661657333374,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4120783-Reviews-Dubi-Gwangju_Gyeonggi_do.html,
King Bbyeo Love,"923, Mujin-Daero",,9426637,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/41/81/8e/photo0jpg.jpg,7,+82 62-367-9993,2,52,4,0,0,1,4,2,3.06600022315979,https://www.tripadvisor.com/Restaurant_Review-g304129-d9426637-Reviews-King_Bbyeo_Love-Gwangju.html,
Deung Village,"111, Uncheon-Ro",,9114977,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/57/a9/dd/caption.jpg,3,,6,53,4.5,0,0,0,1,2,3.06432938575745,https://www.tripadvisor.com/Restaurant_Review-g304129-d9114977-Reviews-Deung_Village-Gwangju.html,
County Jinji Sang,"40-9, Manseon-Ro",,9147582,,1,,0,53,5,0,0,0,0,1,3.02607750892639,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9147582-Reviews-County_Jinji_Sang-Gwangju_Gyeonggi_do.html,
Mimi Won,"218, Baekseo-Ro",,9409878,,5,+82 62-228-3101,0,54,4,0,0,0,4,1,3.0641872882843,https://www.tripadvisor.com/Restaurant_Review-g304129-d9409878-Reviews-Mimi_Won-Gwangju.html,
Mcdonalds,"921-1, Sangmu-Daero",,9402505,,4,+82 70-7017-6781,0,55,5,0,0,0,1,3,3.06325936317444,https://www.tripadvisor.com/Restaurant_Review-g304129-d9402505-Reviews-Mcdonalds-Gwangju.html,
Vell Mond Coffee House,"3, Sicheong-ro 50beon-gil, Seo-gu",Cafe,17765017,https://media-cdn.tripadvisor.com/media/photo-w/18/90/66/00/photo2jpg.jpg,1,+82 62-375-8155,4,55,5,0,0,0,0,1,3.02513813972473,https://www.tripadvisor.com/Restaurant_Review-g2024868-d17765017-Reviews-Vell_Mond_Coffee_House-Gwangju_Gyeonggi_do.html,
Roni Roti,"55, Bongseonjungang-Ro",,9304223,,7,+82 62-651-9777,0,56,4,0,0,2,3,2,3.06321954727173,https://www.tripadvisor.com/Restaurant_Review-g304129-d9304223-Reviews-Roni_Roti-Gwangju.html,
Aesyulri,"904, Mujin-Daero",,8935910,https://media-cdn.tripadvisor.com/media/photo-o/0d/5c/79/aa/caption.jpg,6,+82 62-352-1031,1,57,4,0,0,1,3,2,3.06280112266541,https://www.tripadvisor.com/Restaurant_Review-g304129-d8935910-Reviews-Aesyulri-Gwangju.html,
Alain,"17-6, Dongmyeong-ro 20beon-gil, Dong-gu",,11746784,https://media-cdn.tripadvisor.com/media/photo-o/0f/e7/c9/f2/photo1jpg.jpg,5,+82 62-228-2345,15,58,4.5,0,0,1,1,3,3.06253266334534,https://www.tripadvisor.com/Restaurant_Review-g304129-d11746784-Reviews-Alain-Gwangju.html,
Cafe Levant,"193, Hyeonsan-ro, Chowol-eup",,9290709,,1,+82 31-765-0056,0,58,5,0,0,0,0,1,3.0243923664093,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9290709-Reviews-Cafe_Levant-Gwangju_Gyeonggi_do.html,
Dde Siseu,"20, Sangmunuri-Ro",,9107961,https://media-cdn.tripadvisor.com/media/photo-o/0b/11/34/26/caption.jpg,6,,2,59,4,0,0,0,5,1,3.06214594841003,https://www.tripadvisor.com/Restaurant_Review-g304129-d9107961-Reviews-Dde_Siseu-Gwangju.html,
Sin Rakwon,"45-9, Chungjang-Ro",,9279680,https://media-cdn.tripadvisor.com/media/photo-o/0b/01/63/d2/caption.jpg,6,+82 62-225-9408,5,60,4,0,0,0,5,1,3.0618052482605,https://www.tripadvisor.com/Restaurant_Review-g304129-d9279680-Reviews-Sin_Rakwon-Gwangju.html,
Kenya Espresso Lotte,"17-19 banchi, Daein-dong, Dong-gu",Cafe,4122780,https://media-cdn.tripadvisor.com/media/photo-o/17/34/4b/ac/kenya-espresso-lotte.jpg,1,+82 62-232-1237,1,60,5,0,0,0,0,1,3.02423882484436,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4122780-Reviews-Kenya_Espresso_Lotte-Gwangju_Gyeonggi_do.html,
Monday Off Please,"7, Jangdong-ro, Dong-gu",Pizza,10751048,https://media-cdn.tripadvisor.com/media/photo-o/11/61/87/3b/caption.jpg,4,,1,61,5,0,0,0,1,3,3.06098771095276,https://www.tripadvisor.com/Restaurant_Review-g304129-d10751048-Reviews-Monday_Off_Please-Gwangju.html,
